Cell pair,Developmental Stage,Average Proportional Volume (%),Difference in Propotional Volume (%),Significance Criterion A (0.05),Significance Criterion B (0.01),Significant (A),Significant (B),Difference in actual volume (um^3)
AB2, AB2*,2,50,1.6702,2.5,0.5,,1,51997
A3, B3,4,25.3264,0.6444,1.26632,0.253264,,1,18173
A3*, B3*,4,24.6737,0.661,1.233685,0.246737,,1,18639
A4.1, A4.1*,8,14.9662,0.722,0.74831,0.149662,,1,16052
a4.2, a4.2*,8,10.3594,0.2866,0.51797,0.103594,,1,6371
B4.1, B4.1*,8,13.20115,0.8651,0.6600575,0.1320115,1,1,19234
b4.2, b4.2*,8,11.4732,1.626,0.57366,0.114732,1,1,36153
A4.1, A4.1*,8,14.6944,0.3192,0.73472,0.146944,,1,7691
a4.2, a4.2*,8,10.55095,0.1113,0.5275475,0.1055095,,1,2680
B4.1, B4.1*,8,13.94685,0.4237,0.6973425,0.1394685,,1,10210
b4.2, b4.2*,8,10.8077,0.8514,0.540385,0.108077,1,1,20517
A5.1, A5.1*,16,6.550345,0.27951,0.32751725,0.06550345,,1,3488
A5.2, A5.2*,16,6.721545,0.87685,0.33607725,0.06721545,1,1,10943
a5.3, a5.3*,16,4.348715,0.13897,0.21743575,0.04348715,,1,1734
a5.4, a5.4*,16,4.93575,0.30854,0.2467875,0.0493575,1,1,3851
B5.1, B5.1*,16,11.61925,0.9623,0.5809625,0.1161925,1,1,12009
B5.2, B5.2*,16,3.932835,0.00527,0.19664175,0.03932835,,,66
b5.3, b5.3*,16,5.240305,0.47241,0.26201525,0.05240305,1,1,24326
b5.4, b5.4*,16,6.65127,0.60426,0.3325635,0.0665127,1,1,10889
A5.1, A5.1*,16,6.371905,0.11823,0.31859525,0.06371905,,1,2178
A5.2, A5.2*,16,6.46213,0.32206,0.3231065,0.0646213,,1,5933
a5.3, a5.3*,16,4.77754,0.09066,0.238877,0.0477754,,1,1670
a5.4, a5.4*,16,5.69017,0.47334,0.2845085,0.0569017,1,1,8720
B5.1, B5.1*,16,10.29874,1.36812,0.514937,0.1029874,1,1,25203
B5.2, B5.2*,16,4.33211,0.01352,0.2166055,0.0433211,,,249
b5.3, b5.3*,16,5.734295,0.35767,0.28671475,0.05734295,1,1,18347
b5.4, b5.4*,16,6.3331,0.43664,0.316655,0.063331,1,1,3715
A5.1, A5.1*,16,7.50596,0.1898,0.375298,0.0750596,,1,3904
A5.2, A5.2*,16,6.529885,0.02293,0.32649425,0.06529885,,,472
a5.3, a5.3*,16,4.54936,0.60166,0.227468,0.0454936,1,1,12376
a5.4, a5.4*,16,4.73932,0.19082,0.236966,0.0473932,,1,3925
B5.1, B5.1*,16,10.87335,0.1167,0.5436675,0.1087335,,1,2400
B5.2, B5.2*,16,4.48364,0.0082,0.224182,0.0448364,,,168
b5.3, b5.3*,16,4.998785,0.49185,0.24993925,0.04998785,1,1,27131
b5.4, b5.4*,16,6.319745,0.48789,0.31598725,0.06319745,1,1,27212
a5.3, a5.3*,24,4.40452,0.0247,0.220226,0.0440452,,,437
a5.4, a5.4*,24,4.791795,0.42815,0.23958975,0.04791795,1,1,7585
A6.1, A6.1*,24,2.553025,0.15317,0.12765125,0.02553025,1,1,2714
A6.2, A6.2*,24,3.33536,0.2301,0.166768,0.0333536,1,1,4077
A6.3, A6.3*,24,3.701625,0.17565,0.18508125,0.03701625,,1,3112
A6.4, A6.4*,24,3.811655,0.38989,0.19058275,0.03811655,1,1,6907
b5.3, b5.3*,24,5.55233,0.49772,0.2776165,0.0555233,1,1,8817
b5.4, b5.4*,24,6.15787,0.58114,0.3078935,0.0615787,1,1,10296
B6.1, B6.1*,24,4.647995,0.25493,0.23239975,0.04647995,1,1,4516
B6.2, B6.2*,24,5.79641,0.51576,0.2898205,0.0579641,1,1,9137
B6.3, B6.3*,24,1.42343,0.01812,0.0711715,0.0142343,,1,321
B6.4, B6.4*,24,3.823995,0.27693,0.19119975,0.03823995,1,1,4906
A6.1, A6.1*,32,3.055735,0.33867,0.15278675,0.03055735,1,1,5535
A6.2, A6.2*,32,2.92795,0.04236,0.1463975,0.0292795,,1,693
A6.3, A6.3*,32,3.175625,0.03797,0.15878125,0.03175625,,1,620
A6.4, A6.4*,32,3.04975,0.04464,0.1524875,0.0304975,,1,730
a6.5, a6.5*,32,2.063945,0.10535,0.10319725,0.02063945,1,1,1722
a6.6, a6.6*,32,2.76451,0.21928,0.1382255,0.0276451,1,1,3583
a6.7, a6.7*,32,2.304305,0.15009,0.11521525,0.02304305,1,1,2452
a6.8, a6.8*,32,3.33333,0.01772,0.1666665,0.0333333,,,335
B6.1, B6.1*,32,4.208935,0.00403,0.21044675,0.04208935,,,66
B6.2, B6.2*,32,5.6985,0.09722,0.284925,0.056985,,1,1589
B6.3, B6.3*,32,0.859288,0.10847,0.0429644,0.00859288,1,1,1772
B6.4, B6.4*,32,3.229075,0.13741,0.16145375,0.03229075,,1,2245
b6.5, b6.5*,32,2.85449,0.16746,0.1427245,0.0285449,1,1,2736
b6.6, b6.6*,32,3.271595,0.05979,0.16357975,0.03271595,,1,977
b6.7, b6.7*,32,3.39065,0.05596,0.1695325,0.0339065,,1,1539
b6.8, b6.8*,32,3.81232,0.13276,0.190616,0.0381232,,1,2169
A6.1, A6.1*,32,3.54251,0.33318,0.1771255,0.0354251,1,1,5833
A6.2, A6.2*,32,2.91132,0.10636,0.145566,0.0291132,,1,1862
A6.3, A6.3*,32,3.16773,0.37408,0.1583865,0.0316773,1,1,6549
A6.4, A6.4*,32,3.270505,0.01347,0.16352525,0.03270505,,,236
a6.5, a6.5*,32,2.241975,0.02475,0.11209875,0.02241975,,1,433
a6.6, a6.6*,32,2.842295,0.02557,0.14211475,0.02842295,,,448
a6.7, a6.7*,32,2.39968,0.40104,0.119984,0.0239968,1,1,7021
a6.8, a6.8*,32,3.02885,0.22618,0.1514425,0.0302885,1,1,4852
B6.1, B6.1*,32,4.448935,0.23351,0.22244675,0.04448935,1,1,4087
B6.2, B6.2*,32,5.93384,0.89194,0.296692,0.0593384,1,1,15615
B6.3, B6.3*,32,1.1264095,0.308381,0.056320475,0.011264095,1,1,5399
B6.4, B6.4*,32,3.08444,0.40404,0.154222,0.0308444,1,1,7073
b6.5, b6.5*,32,2.640315,0.02713,0.13201575,0.02640315,,1,475
b6.6, b6.6*,32,2.882095,0.07023,0.14410475,0.02882095,,1,1230
b6.7, b6.7*,32,3.16941,0.04698,0.1584705,0.0316941,,1,70
b6.8, b6.8*,32,3.309695,0.06893,0.16548475,0.03309695,,1,1206
A6.1, A6.1*,32,3.73931,0.33894,0.1869655,0.0373931,1,1,5651
A6.2, A6.2*,32,3.372895,0.12981,0.16864475,0.03372895,,1,2164
A6.3, A6.3*,32,3.50199,0.20342,0.1750995,0.0350199,1,1,3391
A6.4, A6.4*,32,3.9674,0.38968,0.19837,0.039674,1,1,6497
a6.5, a6.5*,32,1.85712,0.05958,0.092856,0.0185712,,1,993
a6.6, a6.6*,32,2.538975,0.12755,0.12694875,0.02538975,1,1,2126
a6.7, a6.7*,32,1.81529,0.16654,0.0907645,0.0181529,1,1,2776
a6.8, a6.8*,32,2.774765,0.17659,0.13873825,0.02774765,1,1,2411
B6.1, B6.1*,32,3.972225,0.45449,0.19861125,0.03972225,1,1,7578
B6.2, B6.2*,32,6.01939,0.29686,0.3009695,0.0601939,,1,4950
B6.3, B6.3*,32,0.7948555,0.161041,0.039742775,0.007948555,1,1,2685
B6.4, B6.4*,32,3.70741,0.4273,0.1853705,0.0370741,1,1,7124
b6.5, b6.5*,32,2.94483,0.3636,0.1472415,0.0294483,1,1,6062
b6.6, b6.6*,32,2.8284,0.27634,0.14142,0.028284,1,1,4607
b6.7, b6.7*,32,2.87419,0.31148,0.1437095,0.0287419,1,1,5726
b6.8, b6.8*,32,3.29095,0.26202,0.1645475,0.0329095,1,1,4368
a6.5, a6.5*,44,1.70538,0.06822,0.085269,0.0170538,,1,1594
a6.6, a6.6*,44,2.777605,0.05975,0.13888025,0.02777605,,1,1396
a6.7, a6.7*,44,2.483375,0.38015,0.12416875,0.02483375,1,1,8884
a6.8, a6.8*,44,3.180225,0.14391,0.15901125,0.03180225,,1,3363
A7.1, A7.1*,44,1.430365,0.09153,0.07151825,0.01430365,1,1,2138
A7.2, A7.2*,44,1.89932,0.29438,0.094966,0.0189932,1,1,6879
A7.3, A7.3*,44,1.448755,0.08609,0.07243775,0.01448755,1,1,2012
A7.4, A7.4*,44,1.296925,0.06761,0.06484625,0.01296925,1,1,1580
A7.5, A7.5*,44,1.72968,0.14096,0.086484,0.0172968,1,1,3294
A7.6, A7.6*,44,1.756795,0.25323,0.08783975,0.01756795,1,1,5918
A7.7, A7.7*,44,1.49471,0.07568,0.0747355,0.0149471,1,1,1769
A7.8, A7.8*,44,1.686945,0.05105,0.08434725,0.01686945,,1,1193
B6.3, B6.3*,44,0.9685255,0.058465,0.048426275,0.009685255,1,1,1366
B6.4, B6.4*,44,3.26286,0.066,0.163143,0.0326286,,1,1542
b6.5, b6.5*,44,2.895765,0.66155,0.14478825,0.02895765,1,1,15460
b6.6, b6.6*,44,2.66012,0.2355,0.133006,0.0266012,1,1,5504
b6.7, b6.7*,44,2.949335,0.25275,0.14746675,0.02949335,1,1,5907
b6.8, b6.8*,44,3.340425,0.20003,0.16702125,0.03340425,1,1,4674
B7.1, B7.1*,44,1.903505,0.40393,0.09517525,0.01903505,1,1,9440
B7.2, B7.2*,44,2.186875,0.12199,0.10934375,0.02186875,1,1,2851
B7.3, B7.3*,44,2.80451,0.42008,0.1402255,0.0280451,1,1,9817
B7.4, B7.4*,44,4.137995,0.27899,0.20689975,0.04137995,1,1,6520
a6.5, a6.5*,44,2.01172,0.1504,0.100586,0.0201172,1,1,2943
a6.6, a6.6*,44,2.6694,0.25974,0.13347,0.026694,1,1,5083
a6.7, a6.7*,44,2.287805,0.15819,0.11439025,0.02287805,1,1,3096
a6.8, a6.8*,44,3.00432,0.02644,0.150216,0.0300432,,,517
A7.1, A7.1*,44,1.51923,0.25608,0.0759615,0.0151923,1,1,5011
A7.2, A7.2*,44,1.52873,0.19784,0.0764365,0.0152873,1,1,3872
A7.3, A7.3*,44,1.51971,0.27694,0.0759855,0.0151971,1,1,5420
A7.4, A7.4*,44,1.70558,0.02366,0.085279,0.0170558,,1,463
A7.5, A7.5*,44,1.465135,0.02069,0.07325675,0.01465135,,1,405
A7.6, A7.6*,44,1.811675,0.13187,0.09058375,0.01811675,1,1,2581
A7.7, A7.7*,44,1.45443,0.00036,0.0727215,0.0145443,,,7
A7.8, A7.8*,44,1.85363,0.40778,0.0926815,0.0185363,1,1,7981
B6.3, B6.3*,44,1.043705,0.08001,0.05218525,0.01043705,1,1,1566
B6.4, B6.4*,44,3.49591,0.11454,0.1747955,0.0349591,,1,2242
b6.5, b6.5*,44,2.887805,0.19115,0.14439025,0.02887805,1,1,3741
b6.6, b6.6*,44,2.29114,0.17896,0.114557,0.0229114,1,1,3502
b6.7, b6.7*,44,2.60269,0.65328,0.1301345,0.0260269,1,1,12785
b6.8, b6.8*,44,3.876875,0.13481,0.19384375,0.03876875,,1,2639
B7.1, B7.1*,44,1.72618,0.06956,0.086309,0.0172618,,1,1361
B7.2, B7.2*,44,2.13437,0.06314,0.1067185,0.0213437,,1,1236
B7.3, B7.3*,44,2.68272,0.23568,0.134136,0.0268272,1,1,4613
B7.4, B7.4*,44,4.42725,0.53446,0.2213625,0.0442725,1,1,10459
A7.1, A7.1*,64,1.2501685,1.775563,0.062508425,0.012501685,1,1,23410
a7.10, a7.10*,64,0.615851,0.309826,0.03079255,0.00615851,1,1,4085
a7.11, a7.11*,64,2.55277,0.18326,0.1276385,0.0255277,1,1,2416
a7.12, a7.12*,64,2.765565,0.47495,0.13827825,0.02765565,1,1,6263
a7.13, a7.13*,64,2.07734,0.21384,0.103867,0.0207734,1,1,2820
a7.14, a7.14*,64,2.37711,0.16258,0.1188555,0.0237711,1,1,2143
a7.15, a7.15*,64,2.89284,0.28102,0.144642,0.0289284,1,1,3705
a7.16, a7.16*,64,2.65462,0.1522,0.132731,0.0265462,1,1,2007
A7.2, A7.2*,64,1.162419,1.266662,0.05812095,0.01162419,1,1,16700
A7.3, A7.3*,64,0.954816,0.896748,0.0477408,0.00954816,1,1,11824
A7.4, A7.4*,64,0.8715685,0.716983,0.043578425,0.008715685,1,1,9454
A7.5, A7.5*,64,0.5440485,0.638237,0.027202425,0.005440485,1,1,8415
A7.6, A7.6*,64,0.6852025,0.075591,0.034260125,0.006852025,1,1,996
A7.7, A7.7*,64,0.491243,0.319994,0.02456215,0.00491243,1,1,4219
A7.8, A7.8*,64,0.8573695,0.683801,0.042868475,0.008573695,1,1,9016
a7.9, a7.9*,64,0.290004,0.345584,0.0145002,0.00290004,1,1,4556
B7.1, B7.1*,64,1.783185,0.20959,0.08915925,0.01783185,1,1,2764
b7.10, b7.10*,64,1.8304815,2.701377,0.091524075,0.018304815,1,1,35617
b7.11, b7.11*,64,1.3434075,1.240005,0.067170375,0.013434075,1,1,16349
b7.12, b7.12*,64,1.734525,1.16047,0.08672625,0.01734525,1,1,15301
b7.13, b7.13*,64,2.710735,0.75603,0.13553675,0.02710735,1,1,9969
b7.14, b7.14*,64,2.640125,0.28477,0.13200625,0.02640125,1,1,3755
b7.15, b7.15*,64,2.706795,0.63429,0.13533975,0.02706795,1,1,8363
b7.16, b7.16*,64,1.3554575,1.707285,0.067772875,0.013554575,1,1,22511
B7.2, B7.2*,64,1.48027,0.73802,0.0740135,0.0148027,1,1,9730
B7.3, B7.3*,64,0.6120415,1.022657,0.030602075,0.006120415,1,1,13484
B7.4, B7.4*,64,1.79525,1.18298,0.0897625,0.0179525,1,1,15598
B7.5, B7.5*,64,1.024558,0.076564,0.0512279,0.01024558,1,1,1009
B7.6, B7.6*,64,0.09644415,0.1597297,0.004822208,0.000964442,1,1,2106
B7.7, B7.7*,64,1.823785,0.07757,0.09118925,0.01823785,,1,1023
B7.8, B7.8*,64,2.670895,0.17105,0.13354475,0.02670895,1,1,2255
b7.9, b7.9*,64,1.34912,0.83614,0.067456,0.0134912,1,1,11025
A7.1, A7.1*,76,1.61561,0.0488,0.0807805,0.0161561,,1,1319
a7.10, a7.10*,76,1.037264,0.277892,0.0518632,0.01037264,1,1,7509
a7.11, a7.11*,76,1.384295,0.15419,0.06921475,0.01384295,1,1,4166
a7.12, a7.12*,76,1.90779,0.26432,0.0953895,0.0190779,1,1,7141
a7.13, a7.13*,76,0.865357,0.077044,0.04326785,0.00865357,1,1,2082
a7.14, a7.14*,76,1.422475,0.12493,0.07112375,0.01422475,1,1,3375
a7.15, a7.15*,76,1.416495,0.25829,0.07082475,0.01416495,1,1,6979
a7.16, a7.16*,76,1.532775,0.20381,0.07663875,0.01532775,1,1,5507
A7.2, A7.2*,76,2.02637,0.15482,0.1013185,0.0202637,1,1,4183
A7.5, A7.5*,76,1.917675,0.02975,0.09588375,0.01917675,,1,804
A7.6, A7.6*,76,1.553755,0.20671,0.07768775,0.01553755,1,1,5585
a7.9, a7.9*,76,0.997973,0.100074,0.04989865,0.00997973,1,1,2704
A8.13, A8.13*,76,0.6737915,0.169877,0.033689575,0.006737915,1,1,4590
A8.14, A8.14*,76,0.967182,0.05988,0.0483591,0.00967182,1,1,1618
A8.15, A8.15*,76,0.812505,0.013678,0.04062525,0.00812505,,1,370
A8.16, A8.16*,76,0.90799,0.00927,0.0453995,0.0090799,,1,250
A8.5, A8.5*,76,0.8436525,0.115145,0.042182625,0.008436525,1,1,3111
A8.6, A8.6*,76,0.7907795,0.064377,0.039538975,0.007907795,1,1,1740
A8.7, A8.7*,76,0.8424625,0.153279,0.042123125,0.008424625,1,1,4141
A8.8, A8.8*,76,0.8264975,0.034011,0.041324875,0.008264975,,1,919
B7.1, B7.1*,76,2.18183,0.24968,0.1090915,0.0218183,1,1,6746
b7.10, b7.10*,76,0.930754,0.160652,0.0465377,0.00930754,1,1,4340
b7.11, b7.11*,76,1.251735,0.18467,0.06258675,0.01251735,1,1,4989
b7.12, b7.12*,76,1.565445,0.11083,0.07827225,0.01565445,1,1,2994
b7.13, b7.13*,76,1.236455,0.07301,0.06182275,0.01236455,1,1,1973
b7.14, b7.14*,76,1.765345,0.00691,0.08826725,0.01765345,,,186
b7.15, b7.15*,76,1.485285,0.11019,0.07426425,0.01485285,1,1,2977
b7.16, b7.16*,76,1.572955,0.19167,0.07864775,0.01572955,1,1,5178
B7.2, B7.2*,76,2.36331,0.1304,0.1181655,0.0236331,1,1,3524
B7.5, B7.5*,76,0.6092595,0.039649,0.030462975,0.006092595,1,1,1071
B7.6, B7.6*,76,0.537664,0.030724,0.0268832,0.00537664,1,1,830
B7.7, B7.7*,76,1.695165,0.01517,0.08475825,0.01695165,,,410
B7.8, B7.8*,76,1.629005,0.10925,0.08145025,0.01629005,1,1,2951
b7.9, b7.9*,76,1.603385,0.13175,0.08016925,0.01603385,1,1,3560
B8.5, B8.5*,76,2.003325,0.07953,0.10016625,0.02003325,,1,2149
B8.6, B8.6*,76,0.2733305,0.119341,0.013666525,0.002733305,1,1,3225
B8.7, B8.7*,76,1.479395,0.02627,0.07396975,0.01479395,,1,710
B8.8, B8.8*,76,1.473665,0.14809,0.07368325,0.01473665,1,1,4001
A7.1, A7.1*,112,1.64289,0.11296,0.0821445,0.0164289,1,1,2243
A7.2, A7.2*,112,2.132155,0.11517,0.10660775,0.02132155,1,1,2287
A7.5, A7.5*,112,1.917695,0.08399,0.09588475,0.01917695,,1,1668
A8.11, A8.11*,112,0.8190285,0.062395,0.040951425,0.008190285,1,1,1239
A8.12, A8.12*,112,0.335826,0.011876,0.0167913,0.00335826,,1,236
A8.13, A8.13*,112,0.828457,0.063596,0.04142285,0.00828457,1,1,1263
A8.14, A8.14*,112,0.8074525,0.029309,0.040372625,0.008074525,,1,582
A8.15, A8.15*,112,0.7838535,0.061511,0.039192675,0.007838535,1,1,1222
A8.16, A8.16*,112,1.0037145,0.036631,0.050185725,0.010037145,,1,727
