Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
AB2,2,50.8351,A3,4,25.1749,0.1824,1
AB2,2,50.8351,B3,4,25.4778,,
AB2*,2,49.1649,A3*,4,24.5305,-0.1824,2
AB2*,2,49.1649,B3*,4,24.8168,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A3,4,25.1749,A4.1,8,14.6052,0.3536,1
A3,4,25.1749,a4.2,8,10.2161,,
A3*,4,24.5305,A4.1*,8,15.3272,-1.2994,2
A3*,4,24.5305,a4.2*,8,10.5027,,
B3,4,25.4778,B4.1,8,12.7686,2.049,3
B3,4,25.4778,b4.2,8,10.6602,,
B3*,4,24.8168,B4.1*,8,13.6337,-1.1031,4
B3*,4,24.8168,b4.2*,8,12.2862,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A4.1,8,14.6052,A5.1,16,6.41059,1.91149,1
A4.1,8,14.6052,A5.2,16,6.28312,,
a4.2,8,10.2161,a5.3,16,4.27923,1.15539,2
a4.2,8,10.2161,a5.4,16,4.78148,,
A4.1*,8,15.3272,A5.1*,16,6.6901,1.47713,3
A4.1*,8,15.3272,A5.2*,16,7.15997,,
a4.2*,8,10.5027,a5.3*,16,4.4182,0.99448,4
a4.2*,8,10.5027,a5.4*,16,5.09002,,
B4.1,8,12.7686,B5.1,16,11.1381,-2.30497,5
B4.1,8,12.7686,B5.2,16,3.93547,,
b4.2,8,10.6602,b5.3,16,5.47651,-1.16545,6
b4.2,8,10.6602,b5.4,16,6.34914,,
B4.1*,8,13.6337,B5.1*,16,12.1004,-2.3969,7
B4.1*,8,13.6337,B5.2*,16,3.9302,,
b4.2*,8,12.2862,b5.3*,16,5.0041,0.3287,8
b4.2*,8,12.2862,b5.4*,16,6.9534,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A5.1,16,6.41059,A6.1,24,2.62961,0.56067,1
A5.1,16,6.41059,A6.2,24,3.22031,,
A5.2,16,6.28312,A6.3,24,3.6138,-0.94739,2
A5.2,16,6.28312,A6.4,24,3.61671,,
a5.3,16,4.27923,a5.3,24,4.39217,-0.11294,N/A
a5.4,16,4.78148,a5.4,24,5.00587,-0.22439,N/A
A5.1*,16,6.6901,A6.1*,24,2.47644,0.76325,3
A5.1*,16,6.6901,A6.2*,24,3.45041,,
A5.2*,16,7.15997,A6.3*,24,3.78945,-0.63608,4
A5.2*,16,7.15997,A6.4*,24,4.0066,,
a5.3*,16,4.4182,a5.3*,24,4.41687,0.00133,N/A
a5.4*,16,5.09002,a5.4*,24,4.57772,0.5123,N/A
B5.1,16,11.1381,B6.1,24,4.52053,1.07904,5
B5.1,16,11.1381,B6.2,24,5.53853,,
B5.2,16,3.93547,B6.3,24,1.41437,-1.44136,6
B5.2,16,3.93547,B6.4,24,3.96246,,
b5.3,16,5.47651,b5.3,24,5.80119,-0.32468,N/A
b5.4,16,6.34914,b5.4,24,5.8673,0.48184,N/A
B5.1*,16,12.1004,B6.1*,24,4.77546,1.27065,7
B5.1*,16,12.1004,B6.2*,24,6.05429,,
B5.2*,16,3.9302,B6.3*,24,1.43249,-1.18782,8
B5.2*,16,3.9302,B6.4*,24,3.68553,,
b5.3*,16,5.0041,b5.3*,24,5.30347,-0.29937,N/A
b5.4*,16,6.9534,b5.4*,24,6.44844,0.50496,N/A
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A6.1,24,2.62961,A6.1,32,2.8864,-0.25679,N/A
A6.2,24,3.22031,A6.2,32,2.94913,0.27118,N/A
A6.3,24,3.6138,A6.3,32,3.15664,0.45716,N/A
A6.4,24,3.61671,A6.4,32,3.02743,0.58928,N/A
a5.3,24,4.39217,a6.5,32,2.01127,-0.27397,1
a5.3,24,4.39217,a6.6,32,2.65487,,
a5.4,24,5.00587,a6.7,32,2.22926,-0.54786,2
a5.4,24,5.00587,a6.8,32,3.32447,,
A6.1*,24,2.47644,A6.1*,32,3.22507,-0.74863,N/A
A6.2*,24,3.45041,A6.2*,32,2.90677,0.54364,N/A
A6.3*,24,3.78945,A6.3*,32,3.19461,0.59484,N/A
A6.4*,24,4.0066,A6.4*,32,3.07207,0.93453,N/A
a5.3*,24,4.41687,a6.5*,32,2.11662,-0.5739,3
a5.3*,24,4.41687,a6.6*,32,2.87415,,
a5.4*,24,4.57772,a6.7*,32,2.37935,-1.14382,4
a5.4*,24,4.57772,a6.8*,32,3.34219,,
B6.1,24,4.52053,B6.1,32,4.20692,0.31361,N/A
B6.2,24,5.53853,B6.2,32,5.64989,-0.11136,N/A
B6.3,24,1.41437,B6.3,32,0.913523,0.500847,N/A
B6.4,24,3.96246,B6.4,32,3.16037,-1.746,N/A
b5.3,24,5.80119,b6.5,32,2.77076,-0.27106,5
b5.3,24,5.80119,b6.6,32,3.30149,,
b5.4,24,5.8673,b6.7,32,3.41863,-1.43003,6
b5.4,24,5.8673,b6.8,32,3.8787,,
B6.1*,24,4.77546,B6.1*,32,4.21095,0.56451,N/A
B6.2*,24,6.05429,B6.2*,32,5.74711,0.30718,N/A
B6.3*,24,1.43249,B6.4*,32,3.29778,-1.86529,N/A
B6.4*,24,3.68553,B6.4*,32,3.29778,-1.86529,N/A
b5.3*,24,5.30347,b6.5*,32,2.93822,-0.87645,7
b5.3*,24,5.30347,b6.6*,32,3.2417,,
b5.4*,24,6.44844,b6.7*,32,3.36267,-0.66017,8
b5.4*,24,6.44844,b6.8*,32,3.74594,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A6.1,32,2.8864,A7.1,44,1.3846,-0.25033,1
A6.1,32,2.8864,A7.2,44,1.75213,,
A6.2,32,2.94913,A7.3,44,1.40571,0.2803,2
A6.2,32,2.94913,A7.4,44,1.26312,,
A6.3,32,3.15664,A7.5,44,1.6592,-0.13274,3
A6.3,32,3.15664,A7.6,44,1.63018,,
A6.4,32,3.02743,A7.7,44,1.53255,-0.16654,4
A6.4,32,3.02743,A7.8,44,1.66142,,
a6.5,32,2.01127,a6.5,44,1.67127,0.34,N/A
a6.6,32,2.65487,a6.6,44,2.74773,-0.09286,N/A
a6.7,32,2.22926,a6.7,44,2.67345,-0.44419,N/A
a6.8,32,3.32447,a6.8,44,3.10827,-0.87901,N/A
A6.1*,32,3.22507,A7.1*,44,1.47613,-0.29757,5
A6.1*,32,3.22507,A7.2*,44,2.04651,,
A6.2*,32,2.90677,A7.3*,44,1.4918,0.08424,6
A6.2*,32,2.90677,A7.4*,44,1.33073,,
A6.3*,32,3.19461,A7.5*,44,1.80016,-0.48896,7
A6.3*,32,3.19461,A7.6*,44,1.88341,,
A6.4*,32,3.07207,A7.7*,44,1.45687,-0.09727,8
A6.4*,32,3.07207,A7.8*,44,1.71247,,
a6.5*,32,2.11662,a6.5*,44,1.73949,0.37713,N/A
a6.6*,32,2.87415,a6.6*,44,2.80748,0.06667,N/A
a6.7*,32,2.37935,a6.7*,44,2.2933,0.08605,N/A
a6.8*,32,3.34219,a6.8*,44,3.25218,-0.87283,N/A
B6.1,32,4.20692,B7.1,44,1.70154,0.3795,9
B6.1,32,4.20692,B7.2,44,2.12588,,
B6.2,32,5.64989,B7.3,44,2.59447,-0.94308,10
B6.3,32,0.913523,B7.4,44,3.9985,,
B6.3,32,0.913523,B6.3,44,0.939293,-3.25563,11
B6.4,32,3.16037,B6.4,44,3.22986,,
b6.5,32,2.77076,b6.5,44,2.56499,0.20577,N/A
b6.6,32,3.30149,b6.6,44,2.77787,0.52362,N/A
b6.7,32,3.41863,b6.7,44,2.82296,0.59567,N/A
b6.8,32,3.8787,b6.8,44,3.44044,-0.02181,N/A
B6.1*,32,4.21095,B7.1*,44,2.10547,-0.14239,12
B6.1*,32,4.21095,B7.2*,44,2.24787,,
B6.2*,32,5.74711,B7.3*,44,3.01455,-1.54493,13
B6.2*,32,5.74711,B7.4*,44,4.27749,,
B6.3*,32,0.805053,B6.3*,44,0.997758,-3.488565,14
B6.4*,32,3.29778,B6.4*,44,3.29586,,
b6.5*,32,2.93822,b6.5*,44,3.22654,-0.28832,N/A
b6.6*,32,3.2417,b6.6*,44,2.54237,0.69933,N/A
b6.7*,32,3.36267,b6.7*,44,3.07571,0.28696,N/A
b6.8*,32,3.74594,b6.8*,44,3.24041,0.12226,N/A
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A7.1,44,1.3846,A7.1,64,2.13795,-0.75335,N/A
A7.2,44,1.75213,A7.2,64,1.79575,-0.04362,N/A
A7.3,44,1.40571,A7.3,64,0.506442,0.899268,N/A
A7.4,44,1.26312,A7.4,64,0.513077,0.750043,N/A
A7.5,44,1.6592,A7.5,64,0.863167,0.796033,N/A
A7.6,44,1.63018,A7.6,64,0.647407,0.982773,N/A
A7.7,44,1.53255,A7.7,64,0.65124,0.88131,N/A
A7.8,44,1.66142,A7.8,64,0.515469,1.145951,N/A
a6.5,44,1.67127,a7.9,64,0.117212,1.09312,1
a6.5,44,1.67127,a7.10,64,0.460938,,
a6.6,44,2.74773,a7.11,64,2.6444,-2.89971,2
a6.6,44,2.74773,a7.12,64,3.00304,,
a6.7,44,2.67345,a7.13,64,1.97042,-1.59279,3
a6.7,44,2.67345,a7.14,64,2.29582,,
a6.8,44,3.10827,a7.15,64,3.03335,-2.6558,4
a6.8,44,3.10827,a7.16,64,2.73072,,
A7.1*,44,1.47613,A7.1*,64,0.362387,1.113743,N/A
A7.2*,44,2.04651,A7.2*,64,0.529088,1.517422,N/A
A7.3*,44,1.4918,A7.3*,64,1.40319,0.08861,N/A
A7.4*,44,1.33073,A7.4*,64,1.23006,0.10067,N/A
A7.5*,44,1.80016,A7.5*,64,0.22493,1.57523,N/A
A7.6*,44,1.88341,A7.6*,64,0.722998,1.160412,N/A
A7.7*,44,1.45687,A7.7*,64,0.331246,1.125624,N/A
A7.8*,44,1.71247,A7.8*,64,1.19927,0.5132,N/A
a6.5*,44,1.73949,a7.9*,64,0.462796,0.50593,5
a6.5*,44,1.73949,a7.10*,64,0.770764,,
a6.6*,44,2.80748,a7.11*,64,2.46114,-2.18175,6
a6.6*,44,2.80748,a7.12*,64,2.52809,,
a6.7*,44,2.2933,a7.13*,64,2.18426,-2.34936,7
a6.7*,44,2.2933,a7.14*,64,2.4584,,
a6.8*,44,3.25218,a7.15*,64,2.75233,-2.07867,8
a6.8*,44,3.25218,a7.16*,64,2.57852,,
B7.1,44,1.70154,B7.1,64,1.88798,-0.18644,N/A
B7.2,44,2.12588,B7.2,64,1.11126,1.01462,N/A
B7.3,44,2.59447,B7.3,64,1.12337,1.4711,N/A
B7.3,44,2.59447,B7.5,64,0.986276,1.5916147,9
B7.3,44,2.59447,B7.6,64,0.0165793,,
B7.4,44,3.9985,B7.4,64,2.38674,1.61176,N/A
B7.4,44,3.9985,B7.7,64,1.86257,-0.25081,10
B7.4,44,3.9985,B7.8,64,2.58537,,
b6.5,44,2.56499,b7.9,64,1.76719,-0.35406,11
b6.5,44,2.56499,b7.10,64,3.18117,,
b6.6,44,2.77787,b7.11,64,0.723405,-1.339585,12
b6.6,44,2.77787,b7.12,64,1.15429,,
b6.7,44,2.82296,b7.13,64,2.33272,-0.70914,13
b6.7,44,2.82296,b7.14,64,2.78251,,
b6.8,44,3.44044,b7.15,64,2.38965,-2.3492,14
b6.8,44,3.44044,b7.16,64,2.2091,,
B7.1*,44,2.10547,B7.1*,64,1.67839,0.42708,N/A
B7.2*,44,2.24787,B7.2*,64,1.84928,0.39859,N/A
B7.3*,44,3.01455,B7.3*,64,0.100713,2.913837,N/A
B7.3*,44,3.01455,B7.5*,64,1.06284,1.850997,15
B7.3*,44,3.01455,B7.6*,64,0.176309,,
B7.4*,44,4.27749,B7.4*,64,1.20376,3.07373,N/A
B7.4*,44,4.27749,B7.7*,64,1.785,2.49249,N/A
B7.4*,44,4.27749,B7.8*,64,2.75642,1.52107,N/A
b6.5*,44,3.22654,b7.9*,64,0.93105,0.59002,16
b6.5*,44,3.22654,b7.10*,64,0.479793,,
b6.6*,44,2.54237,b7.11*,64,1.96341,0.783337,17
b6.6*,44,2.54237,b7.12*,64,2.31476,,
b6.7*,44,3.07571,b7.13*,64,3.08875,-2.86114,18
b6.7*,44,3.07571,b7.14*,64,2.49774,,
b6.8*,44,3.24041,b7.15*,64,3.02394,-2.44597,19
b6.8*,44,3.24041,b7.16*,64,0.501815,,
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A7.1,64,2.13795,A7.1,76,1.59121,0.54674,N/A
A7.2,64,1.79575,A7.2,76,2.10378,-0.30803,N/A
A7.3,64,0.506442,A8.5,76,0.78608,-1.09411,1
A7.3,64,0.506442,A8.6,76,0.758591,,
A7.4,64,0.513077,A8.7,76,0.919102,-1.171251,2
A7.4,64,0.513077,A8.8,76,0.843503,,
A7.5,64,0.863167,A7.5,76,1.9028,-1.039633,N/A
A7.6,64,0.647407,A7.6,76,1.4504,-0.802993,N/A
A7.7,64,0.65124,A8.13,76,0.75873,-1.561723,3
A7.7,64,0.65124,A8.14,76,0.997122,,
A7.8,64,0.515469,A8.15,76,0.819344,-1.165226,4
A7.8,64,0.515469,A8.16,76,0.903355,,
a7.9,64,0.117212,a7.9,76,1.04801,-0.930798,N/A
a7.10,64,0.460938,a7.10,76,0.898318,-0.43738,N/A
a7.11,64,2.6444,a7.11,76,1.3072,1.3372,N/A
a7.12,64,3.00304,a7.12,76,1.77563,1.22741,N/A
a7.13,64,1.97042,a7.13,76,0.826835,1.143585,N/A
a7.14,64,2.29582,a7.14,76,1.36001,0.93581,N/A
a7.15,64,3.03335,a7.15,76,1.28735,1.746,N/A
a7.16,64,2.73072,a7.16,76,1.43087,1.29985,N/A
A7.1*,64,0.362387,A7.1*,76,1.64001,-1.277623,N/A
A7.2*,64,0.529088,A7.2*,76,1.94896,-1.419872,N/A
A7.3*,64,1.40319,A8.5*,76,0.901225,-2.321097,5
A7.3*,64,1.40319,A8.6*,76,0.822968,,
A7.4*,64,1.23006,A8.7*,76,0.765823,-0.185601,6
A7.4*,64,1.23006,A8.8*,76,0.809492,,
A7.5*,64,0.22493,A7.5*,76,1.93255,-1.511982,7
A7.6*,64,0.722998,A7.6*,76,1.65711,,
A7.7*,64,0.331246,A8.13*,76,0.588853,-1.522965,8
A7.7*,64,0.331246,A8.14*,76,0.937242,,
A7.8*,64,1.19927,A8.15*,76,0.805666,-1.411662,9
A7.8*,64,1.19927,A8.16*,76,0.912625,,
a7.9*,64,0.462796,a7.9*,76,0.947936,-0.48514,N/A
a7.10*,64,0.770764,a7.10*,76,1.17621,-0.405446,N/A
a7.11*,64,2.46114,a7.11*,76,1.46139,0.99975,N/A
a7.12*,64,2.52809,a7.12*,76,2.03995,0.48814,N/A
a7.13*,64,2.18426,a7.13*,76,0.903879,1.280381,N/A
a7.14*,64,2.4584,a7.14*,76,1.48494,0.97346,N/A
a7.15*,64,2.75233,a7.15*,76,1.54564,1.20669,N/A
a7.16*,64,2.57852,a7.16*,76,1.63468,0.94384,N/A
B7.1,64,1.88798,B7.1,76,2.30667,-0.41869,N/A
B7.2,64,1.11126,B7.2,76,2.42851,-1.31725,N/A
B7.3,64,1.12337,B8.5,76,2.04309,-3.36034,10
B7.3,64,1.12337,B8.6,76,0.333001,,
B7.5,64,0.986276,B7.5,76,0.589435,0.396841,N/A
B7.6,64,0.0165793,B7.6,76,0.553026,-0.5364467,N/A
B7.4,64,2.38674,B8.7,76,1.49253,-2.0289767,11
B7.4,64,2.38674,B8.8,76,1.39962,,
B7.7,64,1.86257,B7.7,76,1.68758,0.17499,N/A
B7.8,64,2.58537,B7.8,76,1.57438,1.01099,N/A
b7.9,64,1.76719,b7.9,76,1.66926,0.09793,N/A
b7.10,64,3.18117,b7.10,76,1.01108,2.17009,N/A
b7.11,64,0.723405,b7.11,76,1.34407,-0.620665,N/A
b7.12,64,1.15429,b7.12,76,1.51003,-0.35574,N/A
b7.13,64,2.33272,b7.13,76,1.27296,1.05976,N/A
b7.14,64,2.78251,b7.14,76,1.76189,1.02062,N/A
b7.15,64,2.38965,b7.15,76,1.54038,0.84927,N/A
b7.16,64,2.2091,b7.16,76,1.66879,0.54031,N/A
B7.1*,64,1.67839,B7.1*,76,2.05699,-0.3786,N/A
B7.2*,64,1.84928,B7.2*,76,2.29811,-0.44883,N/A
B7.3*,64,0.100713,B8.5*,76,1.96356,-2.41239,12
B7.3*,64,0.100713,B8.6*,76,0.21366,,
B7.5*,64,1.06284,B7.5*,76,0.629084,0.433756,N/A
B7.6*,64,0.176309,B7.6*,76,0.522302,-0.345993,N/A
B7.4*,64,1.20376,B8.7*,76,1.46626,-1.812253,13
B7.4*,64,1.20376,B8.8*,76,1.54771,,
B7.7*,64,1.785,B7.7*,76,1.70275,0.08225,N/A
B7.8*,64,2.75642,B7.8*,76,1.68363,1.07279,N/A
b7.9*,64,0.93105,b7.9*,76,1.53751,-0.60646,N/A
b7.10*,64,0.479793,b7.10*,76,0.850428,-0.370635,N/A
b7.11*,64,1.96341,b7.11*,76,1.1594,0.80401,N/A
b7.12*,64,2.31476,b7.12*,76,1.62086,0.6939,N/A
b7.13*,64,3.08875,b7.13*,76,1.19995,1.8888,N/A
b7.14*,64,2.49774,b7.14*,76,1.7688,0.72894,N/A
b7.15*,64,3.02394,b7.15*,76,1.43019,1.59375,N/A
b7.16*,64,0.501815,b7.16*,76,1.47712,-0.975305,N/A
Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A7.1,76,1.59121,A7.1,112,1.77315,-0.18194,N/A
A7.2,76,2.10378,A7.2,112,2.22566,-0.12188,N/A
A8.5,76,0.78608,A8.5,112,0.871446,-0.085366,N/A
A8.6,76,0.758591,A8.6,112,0.74477,0.013821,N/A
A8.7,76,0.919102,A8.7,112,0.801863,0.117239,N/A
A8.8,76,0.843503,A8.8,112,0.655293,0.18821,N/A
A7.5,76,1.9028,A7.5,112,1.84568,0.05712,N/A
A7.6,76,1.4504,A8.11,112,0.787831,-0.730711,1
A7.6,76,1.4504,A8.12,112,0.341764,,
A8.13,76,0.75873,A8.13,112,0.892063,0.216573,2
A8.14,76,0.997122,A8.14,112,0.785665,,
A8.15,76,0.819344,A8.15,112,0.712463,-0.501006,3
A8.16,76,0.903355,A8.16,112,0.897014,,
a7.9,76,1.04801,a8.17,112,0.41126,-0.404919,4
a7.9,76,1.04801,a8.18,112,0.510488,,
a7.10,76,0.898318,a8.19,112,0.414686,0.122836,5
a7.10,76,0.898318,a8.20,112,0.553813,,
a7.11,76,1.3072,a8.21,112,0.621848,-0.277343,6
a7.11,76,1.3072,a8.22,112,0.58857,,
a7.12,76,1.77563,a8.23,112,0.81509,-0.09646,7
a7.12,76,1.77563,a8.24,112,0.710496,,
a7.13,76,0.826835,a8.25,112,0.337836,0.727298,8
a7.13,76,0.826835,a8.26,112,0.44337,,
a7.14,76,1.36001,a8.27,112,0.654983,-0.271518,9
a7.14,76,1.36001,a8.28,112,0.73243,,
a7.15,76,1.28735,a8.29,112,0.614208,0.013372,10
a7.15,76,1.28735,a8.30,112,0.626714,,
a7.16,76,1.43087,a8.31,112,0.555823,0.104813,11
a7.16,76,1.43087,a8.32,112,0.698361,,
A7.1*,76,1.64001,A7.1*,112,1.67584,-0.03583,N/A
A7.2*,76,1.94896,A7.2*,112,2.02699,-0.07803,N/A
A8.5*,76,0.901225,A8.5*,112,0.664413,0.236812,N/A
A8.6*,76,0.822968,A8.6*,112,0.876731,-0.053763,N/A
A8.7*,76,0.765823,A8.7*,112,0.685218,0.080605,N/A
A8.8*,76,0.809492,A8.8*,112,0.675584,0.133908,N/A
A7.5*,76,1.93255,A7.5*,112,1.9494,-0.01685,N/A
A7.6*,76,1.65711,A8.11*,112,0.850226,-0.867076,12
A7.6*,76,1.65711,A8.12*,112,0.329888,,
A8.13*,76,0.588853,A8.13*,112,0.878936,0.448286,13
A8.14*,76,0.937242,A8.14*,112,0.358466,,
A8.15*,76,0.805666,A8.15*,112,0.71884,-0.140064,14
A8.16*,76,0.912625,A8.16*,112,1.02321,,
a7.9*,76,0.947936,a8.17*,112,0.323856,-0.434441,15
a7.9*,76,0.947936,a8.18*,112,0.599221,,
a7.10*,76,1.17621,a8.19*,112,0.362388,-0.013673,16
a7.10*,76,1.17621,a8.20*,112,0.538306,,
a7.11*,76,1.46139,a8.21*,112,0.582806,0.055098,17
a7.11*,76,1.46139,a8.22*,112,0.640299,,
a7.12*,76,2.03995,a8.23*,112,0.669724,0.151367,18
a7.12*,76,2.03995,a8.24*,112,0.962198,,
a7.13*,76,0.903879,a8.25*,112,0.374337,0.703415,19
a7.13*,76,0.903879,a8.26*,112,0.601185,,
a7.14*,76,1.48494,a8.27*,112,0.591738,-0.289044,20
a7.14*,76,1.48494,a8.28*,112,0.683028,,
a7.15*,76,1.54564,a8.29*,112,0.715014,0.086898,21
a7.15*,76,1.54564,a8.30*,112,0.742106,,
a7.16*,76,1.63468,a8.31*,112,0.82617,-0.022636,22
a7.16*,76,1.63468,a8.32*,112,0.897509,,
B7.1,76,2.30667,B7.1,112,1.87826,0.42841,N/A
B7.2,76,2.42851,B7.2,112,2.48313,-0.05462,N/A
B8.5,76,2.04309,B8.5,112,1.34752,0.69557,N/A
B8.6,76,0.333001,B8.6,112,0.3614,-0.028399,N/A
B7.5,76,0.589435,B7.5,112,1.04545,-0.456015,N/A
B7.6,76,0.553026,B7.6,112,0.103657,0.449369,N/A
B8.7,76,1.49253,B8.7,112,1.69246,-0.19993,N/A
B8.8,76,1.39962,B8.8,112,2.11209,-0.71247,N/A
B7.7,76,1.68758,B7.7,112,2.0265,-0.33892,N/A
B7.8,76,1.57438,B8.15,112,0.662425,-1.001345,23
B7.8,76,1.57438,B8.16,112,0.68174,,
b7.9,76,1.66926,b8.17,112,0.742083,0.150557,24
b7.9,76,1.66926,b8.18,112,0.764699,,
b7.10,76,1.01108,b8.19,112,0.404501,0.50006,25
b7.10,76,1.01108,b8.20,112,0.757918,,
b7.11,76,1.34407,b8.21,112,0.468278,-0.215116,26
b7.11,76,1.34407,b8.22,112,0.858281,,
b7.12,76,1.51003,b8.23,112,0.865109,-0.37932,27
b7.12,76,1.51003,b8.24,112,0.655094,,
b7.13,76,1.27296,b8.25,112,0.517294,0.337642,28
b7.13,76,1.27296,b8.26,112,0.810889,,
b7.14,76,1.76189,b8.27,112,0.787251,-0.32518,29
b7.14,76,1.76189,b8.28,112,0.995977,,
b7.15,76,1.54038,b8.29,112,0.910981,-0.145068,30
b7.15,76,1.54038,b8.30,112,0.794871,,
b7.16,76,1.66879,b8.31,112,0.886692,-0.141183,31
b7.16,76,1.66879,b8.32,112,0.926111,,
B7.1*,76,2.05699,B7.1*,112,1.93178,0.12521,N/A
B7.2*,76,2.29811,B7.2*,112,2.49203,-0.19392,N/A
B8.5*,76,1.96356,B8.5*,112,1.82727,0.13629,N/A
B8.6*,76,0.21366,B8.6*,112,0.365126,-0.151466,N/A
B7.5*,76,0.629084,B7.5*,112,1.13682,-0.507736,N/A
B7.6*,76,0.522302,B7.6*,112,0.116692,0.40561,N/A
B8.7*,76,1.46626,B8.7*,112,1.77652,-0.31026,N/A
B8.8*,76,1.54771,B8.8*,112,2.04579,-0.49808,N/A
B7.7*,76,1.70275,B7.7*,112,1.68706,0.01569,N/A
B7.8*,76,1.68363,B8.15*,112,0.714208,-0.698518,32
B7.8*,76,1.68363,B8.16*,112,0.600155,,
b7.9*,76,1.53751,b8.17*,112,0.729638,0.353837,33
b7.9*,76,1.53751,b8.18*,112,0.815865,,
b7.10*,76,0.850428,b8.19*,112,0.338504,0.383141,34
b7.10*,76,0.850428,b8.20*,112,0.769395,,
b7.11*,76,1.1594,b8.21*,112,0.473292,-0.392259,35
b7.11*,76,1.1594,b8.22*,112,0.959316,,
b7.12*,76,1.62086,b8.23*,112,0.88341,-0.683326,36
b7.12*,76,1.62086,b8.24*,112,0.872926,,
b7.13*,76,1.19995,b8.25*,112,0.489681,0.258253,37
b7.13*,76,1.19995,b8.26*,112,0.823391,,
b7.14*,76,1.7688,b8.27*,112,0.824586,-0.448027,38
b7.14*,76,1.7688,b8.28*,112,0.87152,,
b7.15*,76,1.43019,b8.29*,112,0.873229,0.024051,39
b7.15*,76,1.43019,b8.30*,112,0.722868,,
b7.16*,76,1.47712,b8.31*,112,0.906304,-0.198982,40
b7.16*,76,1.47712,b8.32*,112,0.837953,,
